STEP-SIZE 5
STEP-COUNT 85
CROWD-SHIPPER-COST 2.0

CROWD-SHIPPERS 75
2 32 7
20 1 4
20 5 2
11 0 7
1 2 9
4 3 5
21 19 4
1 33 8
13 0 4
3 6 9
5 19 4
4 20 0
17 0 7
21 5 8
5 3 4
22 1 4
5 0 1
34 3 3
1 2 5
34 0 0
2 3 9
30 4 0
8 4 9
1 0 1
1 27 0
18 8 10
3 31 8
12 0 10
31 5 1
1 26 8
15 0 1
34 1 6
33 1 10
3 25 5
0 17 5
3 35 9
3 0 1
4 3 5
22 0 6
4 2 0
4 28 0
4 32 8
0 32 10
30 5 3
14 3 3
12 3 5
4 13 9
4 5 1
20 22 0
0 2 5
14 25 4
9 26 3
22 14 9
1 0 3
1 0 10
3 0 7
27 1 8
12 0 2
1 5 0
5 8 6
5 3 0
5 1 1
0 3 0
27 9 2
4 3 5
4 1 5
4 16 3
1 20 8
0 18 3
2 0 0
3 4 6
1 19 6
16 0 9
4 2 8
5 2 6
END

TRANSPORT-LINES 36
6 5 line_0
5 7 line_0
7 8 line_0
8 0 line_0
0 9 line_0
9 10 line_0
11 1 line_1
1 0 line_1
0 12 line_1
12 13 line_1
13 14 line_1
14 15 line_1
16 17 line_2
17 1 line_2
1 18 line_2
18 19 line_2
19 2 line_2
2 20 line_2
21 3 line_3
3 22 line_3
22 23 line_3
23 24 line_3
24 25 line_3
25 2 line_3
26 27 line_4
27 28 line_4
28 4 line_4
4 29 line_4
29 3 line_4
3 30 line_4
31 4 line_5
4 32 line_5
32 5 line_5
5 33 line_5
33 34 line_5
34 35 line_5
END

GRAPH 72
36
6 5 10
5 6 10
5 7 12
7 5 12
7 8 11
8 7 11
8 0 9
0 8 9
0 9 10
9 0 10
9 10 14
10 9 14
11 1 7
1 11 7
1 0 7
0 1 7
0 12 8
12 0 8
12 13 10
13 12 10
13 14 11
14 13 11
14 15 8
15 14 8
16 17 14
17 16 14
17 1 9
1 17 9
1 18 12
18 1 12
18 19 13
19 18 13
19 2 14
2 19 14
2 20 6
20 2 6
21 3 7
3 21 7
3 22 5
22 3 5
22 23 12
23 22 12
23 24 6
24 23 6
24 25 8
25 24 8
25 2 7
2 25 7
26 27 6
27 26 6
27 28 6
28 27 6
28 4 6
4 28 6
4 29 8
29 4 8
29 3 8
3 29 8
3 30 7
30 3 7
31 4 5
4 31 5
4 32 15
32 4 15
32 5 14
5 32 14
5 33 6
33 5 6
33 34 6
34 33 6
34 35 12
35 34 12
END

PARCELS 50
11 25
14 10
10 35
35 24 25
15 24
26 31 12
28 35
21
31 12 25
34
14 27 31
17
23 30 28
31
8 25
12 28 10
21 11
8 35
22
27 12 26
9
9 14
35
22 13 34
14 19
27
18 30
14 21 13
35 10 19
13
26
23 30
27 7 31
12 33
23 11 14
8
27 29
35 18
33 11
18 24 28
35 26
9
16 29
35 33
19 35 22
16 14
8
18 24 27
35 24
15
END

BACKUP-COST 50
5
8
7
6
7
7
5
6
8
7
8
7
7
5
7
8
7
7
6
8
7
5
7
8
7
6
8
6
7
7
7
7
6
8
7
6
7
5
5
6
6
6
8
8
8
6
7
8
8
8
END

STOP-INFO 36
# capacity fixed_cost variable_cost is_exchange (1=yes, 0=no)
5 3 0.9 1
49 4 1.17 1
17 5 1.34 1
15 5 1.66 1
31 4 0.53 1
47 3 1.99 1
37 4 0.92 0
6 -1 -1 0
49 -1 -1 0
50 -1 -1 0
49 -1 -1 0
9 -1 -1 0
26 -1 -1 0
21 -1 -1 0
48 -1 -1 0
46 -1 -1 0
47 -1 -1 0
40 -1 -1 0
8 -1 -1 0
32 -1 -1 0
34 4 1.73 0
6 -1 -1 0
37 -1 -1 0
50 -1 -1 0
39 -1 -1 0
28 -1 -1 0
24 -1 -1 0
40 -1 -1 0
15 -1 -1 0
33 -1 -1 0
49 -1 -1 0
3 -1 -1 0
19 3 1.16 0
20 -1 -1 0
18 -1 -1 0
28 -1 -1 0
END
