STEP-SIZE 5
STEP-COUNT 85
CROWD-SHIPPER-COST 1.0

CROWD-SHIPPERS 36
35 5 2
19 35 0
31 15 19
0 7 16
17 4 40
28 32 28
13 35 12
18 4 34
14 22 31
2 3 14
1 19 3
16 17 0
22 26 12
6 28 33
32 12 41
2 9 5
10 24 5
11 29 2
8 30 11
20 18 28
35 16 1
20 9 23
9 34 23
4 32 34
21 6 26
18 6 37
27 22 33
19 8 26
25 32 38
16 11 36
10 7 37
16 7 5
8 12 36
26 18 38
6 33 10
17 15 7
END

TRANSPORT-LINES 36
6 5 line_0
5 7 line_0
7 0 line_0
0 8 line_0
8 9 line_0
9 10 line_0
11 12 line_1
12 1 line_1
1 13 line_1
13 14 line_1
14 0 line_1
0 15 line_1
16 17 line_2
17 1 line_2
1 18 line_2
18 19 line_2
19 2 line_2
2 20 line_2
2 21 line_3
21 22 line_3
22 23 line_3
23 24 line_3
24 3 line_3
3 25 line_3
26 4 line_4
4 27 line_4
27 3 line_4
3 28 line_4
28 29 line_4
29 30 line_4
31 5 line_5
5 32 line_5
32 33 line_5
33 34 line_5
34 4 line_5
4 35 line_5
END

GRAPH 72
36
6 5 14
5 6 14
5 7 16
7 5 16
7 0 37
0 7 37
0 8 2
8 0 2
8 9 29
9 8 29
9 10 25
10 9 25
11 12 13
12 11 13
12 1 14
1 12 14
1 13 9
13 1 9
13 14 14
14 13 14
14 0 20
0 14 20
0 15 1
15 0 1
16 17 20
17 16 20
17 1 4
1 17 4
1 18 23
18 1 23
18 19 36
19 18 36
19 2 10
2 19 10
2 20 21
20 2 21
2 21 7
21 2 7
21 22 15
22 21 15
22 23 27
23 22 27
23 24 20
24 23 20
24 3 18
3 24 18
3 25 2
25 3 2
26 4 11
4 26 11
4 27 1
27 4 1
27 3 15
3 27 15
3 28 10
28 3 10
28 29 20
29 28 20
29 30 13
30 29 13
31 5 4
5 31 4
5 32 25
32 5 25
32 33 23
33 32 23
33 34 25
34 33 25
34 4 9
4 34 9
4 35 5
35 4 5
END

PARCELS 23
22 15 28
25 32
11 13
8 34 22
20
34 13 26
35 12 34
33 10 9
22
31 15 29
28 35 6
33 7
6 34 21
14
28 15
9 21 13
8 16
12 22 29
35 31
26
11 15
29
15 26
END

BACKUP-COST 23
10
9
10
8
12
8
11
12
9
10
11
11
12
8
9
12
11
9
8
10
12
9
8
END

STOP-INFO 36
# capacity fixed_cost variable_cost is_exchange (1=yes, 0=no)
23 2 0.71 1
34 3 0.52 1
11 4 1.49 1
30 5 1.38 1
24 4 0.8 1
11 5 1.91 1
19 -1 -1 0
37 -1 -1 0
16 -1 -1 0
46 -1 -1 0
43 -1 -1 0
35 -1 -1 0
27 -1 -1 0
11 -1 -1 0
19 -1 -1 0
40 -1 -1 0
13 -1 -1 0
40 2 0.75 0
32 3 0.98 0
22 -1 -1 0
48 -1 -1 0
21 -1 -1 0
43 -1 -1 0
18 -1 -1 0
31 -1 -1 0
42 -1 -1 0
42 -1 -1 0
39 -1 -1 0
37 -1 -1 0
22 -1 -1 0
24 3 1.42 0
24 -1 -1 0
21 -1 -1 0
14 -1 -1 0
44 -1 -1 0
31 -1 -1 0
END
