instance,solver,solver_type,class,family,objective,gap,root_bound_after_cuts,integrality_gap_root,status,time_s,nodes,presolve_time,time_to_best_s,memory_delta_gb,num_vars,num_constrs,percent_cs_delivery,num_delivered_parcels,num_parcels,num_cs,cuts_added,avg_cuts_per_pass,cuts_VI1,cuts_VI2,cuts_VI3,cuts_VI4,cuts_VI5,cuts_VI6,cuts_VI7,cuts_VI8,cuts_VI9
class_0_fam_0_inst_0.json,MILP_Callback,MILP,0,0,298.78999999999996,0.0,297.7900000000001,,2,38.01796340942383,1.0,5.31,16.252922296524048,-0.020965576171875,330880,533870,48.0,24,50,75,108,21.6,0,26,26,28,28,0,0,0,0
class_0_fam_0_inst_1.json,MILP_Callback,MILP,0,0,272.29,0.0,271.63,,2,49.0934100151062,1.0,4.53,24.99537467956543,-0.013339996337890625,330530,533520,52.0,26,50,75,104,34.666666666666664,0,26,26,26,26,0,0,0,0
class_0_fam_0_inst_2.json,MILP_Callback,MILP,0,0,268.65999999999997,0.0,267.33,,2,107.56262397766113,1.0,4.66,66.59192848205566,-0.04320526123046875,331230,534220,57.99999999999999,29,50,75,226,9.416666666666666,0,44,44,69,69,0,0,0,0
class_0_fam_1_inst_0.json,MILP_Callback,MILP,0,1,272.55,0.0,269.05000000000007,,2,50.588146686553955,20.0,2.58,11.817410469055176,0.051006317138671875,484734,788944,62.0,31,50,75,98,3.6296296296296298,0,19,19,30,30,0,0,0,0
class_0_fam_1_inst_1.json,MILP_Callback,MILP,0,1,253.51000000000002,0.0,251.48000000000002,,2,161.1290624141693,1.0,12.64,46.91852569580078,-0.07071304321289062,486784,790994,64.0,32,50,75,148,8.222222222222221,0,34,34,40,40,0,0,0,0
class_0_fam_1_inst_2.json,MILP_Callback,MILP,0,1,279.53,0.0,275.27,,2,1222.0514075756073,1209.0,12.71,88.68569612503052,-0.01434326171875,489134,793344,62.0,31,50,75,417,0.42507645259938837,0,81,81,122,122,11,0,0,0
class_0_fam_3_inst_0.json,MILP_Callback,MILP,0,3,176.98000000000002,0.0,174.71,,2,207.4442093372345,77.0,8.21,113.37062931060791,-0.034458160400390625,581387,944642,86.0,43,50,75,326,3.5824175824175826,0,73,73,90,90,0,0,0,0
class_0_fam_3_inst_1.json,MILP_Callback,MILP,0,3,276.21999999999997,0.0,276.04999999999995,,2,83.63119196891785,1.0,6.69,40.2234320640564,0.018047332763671875,580587,943842,60.0,30,50,75,242,9.68,0,57,57,64,64,0,0,0,0
class_0_fam_3_inst_2.json,MILP_Callback,MILP,0,3,197.76999999999998,0.0,196.13,,2,204.87221479415894,36.0,16.6,112.41429829597473,-0.053150177001953125,569237,924057,82.0,41,50,75,297,4.868852459016393,0,66,66,83,82,0,0,0,0
class_1_fam_0_inst_0.json,MILP_Callback,MILP,1,0,221.28,0.0,211.11,,2,896.0800714492798,2289.0,15.43,184.45584297180176,-0.034259796142578125,499005,800595,88.0,66,75,100,238,4.666666666666667,0,45,45,74,74,0,0,0,0
class_1_fam_0_inst_1.json,MILP_Callback,MILP,1,0,305.24,0.0,295.73,,2,424.5191009044647,2905.0,5.62,130.53584933280945,0.007328033447265625,499680,801270,74.66666666666667,56,75,100,232,3.80327868852459,0,43,43,73,73,0,0,0,0
class_1_fam_0_inst_2.json,MILP_Callback,MILP,1,0,254.77000000000004,0.0,251.57999999999998,,2,317.2256979942322,1.0,15.51,220.91454195976257,0.01263427734375,499080,800670,81.33333333333333,61,75,100,310,11.923076923076923,0,61,61,94,94,0,0,0,0
class_1_fam_1_inst_0.json,MILP_Callback,MILP,1,1,291.63,0.0,290.51,,2,452.25092101097107,110.0,18.81,153.29780960083008,-0.041324615478515625,737434,1190344,76.0,57,75,100,550,8.208955223880597,0,116,116,159,159,0,0,0,0
class_1_fam_1_inst_1.json,MILP_Callback,MILP,1,1,282.77,3.5364430455614325e-05,282.1400000000001,,2,452.93358969688416,1.0,20.69,222.82203674316406,0.014301300048828125,736084,1188994,82.66666666666667,62,75,100,494,7.841269841269841,0,104,104,143,143,0,0,0,0
class_1_fam_1_inst_2.json,MILP_Callback,MILP,1,1,194.06,0.0,193.74,,2,373.2602598667145,1.0,24.11,179.18289518356323,-0.034221649169921875,740734,1193644,90.66666666666666,68,75,100,398,12.4375,0,91,91,108,108,0,0,0,0
class_1_fam_3_inst_0.json,MILP_Callback,MILP,1,3,358.13,0.0,353.77,,2,525.2070112228394,762.0,30.58,329.07520842552185,-0.031566619873046875,893737,1447527,65.33333333333333,49,75,100,496,8.40677966101695,0,111,111,136,136,2,0,0,0
class_1_fam_3_inst_1.json,MILP_Callback,MILP,1,3,281.55,0.0,276.78000000000003,,2,715.8156669139862,238.0,32.31,150.6852571964264,-0.03553009033203125,900037,1453827,77.33333333333333,58,75,100,534,14.833333333333334,0,125,125,142,142,0,0,0,0
class_1_fam_3_inst_2.json,MILP_Callback,MILP,1,3,364.77,0.0,352.42,,2,717.4739861488342,4516.0,30.73,146.43119525909424,-0.028804779052734375,895762,1449552,64.0,48,75,100,185,2.4342105263157894,0,40,40,52,52,1,0,0,0
class_2_fam_0_inst_0.json,MILP_Callback,MILP,2,0,509.88000000000005,0.30522868125833535,354.25,,9,3666.8351106643677,172.0,117.0,,-0.050594329833984375,827675,1302995,67.5,81,120,150,436,72.66666666666667,0,74,74,144,144,0,0,0,0
class_2_fam_0_inst_1.json,MILP_Callback,MILP,2,0,466.37,0.3815854364560327,288.41,,9,3751.3950822353363,1.0,229.08,,-0.03823089599609375,832235,1307555,76.66666666666667,92,120,150,490,245.0,0,111,111,134,134,0,0,0,0
class_2_fam_0_inst_2.json,MILP_Callback,MILP,2,0,475.19000000000005,0.32671142069488,312.48,,9,3727.389276266098,32.0,217.88,,-0.02582550048828125,829835,1305155,76.66666666666667,92,120,150,630,210.0,0,145,145,170,170,0,0,0,0
class_2_fam_1_inst_0.json,MILP_Callback,MILP,2,1,485.90999999999985,0.1987199275586011,380.15,,9,3675.5441658496857,1321.0,11.07,,-0.044399261474609375,1208199,1925019,76.66666666666667,92,120,150,366,12.620689655172415,0,47,47,136,136,0,0,0,0
class_2_fam_1_inst_1.json,MILP_Callback,MILP,2,1,441.09999999999997,0.16719564724552244,333.7,,9,3733.458251476288,789.0,20.72,,-0.03759765625,1202439,1919259,77.5,93,120,150,278,15.444444444444445,0,44,44,95,95,0,0,0,0
class_2_fam_1_inst_2.json,MILP_Callback,MILP,2,1,376.36000000000007,0.08754915506430039,341.8,,9,3780.193140745163,332.0,22.48,,-0.02327728271484375,1205919,1922739,90.83333333333333,109,120,150,214,23.77777777777778,0,29,29,78,78,0,0,0,0
class_2_fam_3_inst_1.json,MILP_Callback,MILP,2,3,489.47999999999996,0.28299419792432784,337.73,,9,3705.6551258563995,1334.0,10.57,,-0.026885986328125,1498722,2376542,71.66666666666667,86,120,150,567,19.551724137931036,1,121,121,162,162,0,0,0,0
class_2_fam_3_inst_2.json,MILP_Callback,MILP,2,3,452.70000000000005,0.35407554671968194,286.13,,9,3717.836991548538,1871.0,8.69,,-0.035614013671875,1495122,2372942,75.0,90,120,150,513,13.5,0,107,107,149,149,1,0,0,0
class_2_fam_3_inst_0.json,MILP_Callback,MILP,2,3,518.8000000000001,0.3294718581341558,334.79,,9,3735.9608631134033,451.0,44.91,,-0.053951263427734375,1491282,2369102,71.66666666666667,86,120,150,716,59.666666666666664,0,169,169,189,189,0,0,0,0
class_3_fam_0_inst_0.json,MILP_Callback,MILP,3,0,1195.1499999999999,0.017478977534200624,1174.26,,9,3694.2267394065857,1.0,16.6,1651.70596575737,-0.05646514892578125,1149645,1774725,28.749999999999996,46,160,200,354,13.615384615384615,0,74,74,103,103,0,0,0,0
class_3_fam_1_inst_0.json,MILP_Callback,MILP,3,1,579.8199999999999,0.3264116449932737,362.05,,9,3822.250935792923,1.0,16.6,3044.003365278244,-0.053394317626953125,1657169,2603909,80.625,129,160,200,746,373.0,0,170,170,203,203,0,0,0,0
class_3_fam_3_inst_0.json,MILP_Callback,MILP,3,3,652.4599999999999,0.4482420378260736,319.53999999999996,,9,3749.091637134552,1.0,16.6,3060.47798538208,-0.0648193359375,2046772,3207952,71.875,115,160,200,944,472.0,0,226,226,246,246,0,0,0,0
class_5_fam_0_inst_0.json,MILP_Callback,MILP,5,0,2486.0,0.4090466613032984,,,9,3832.256837129593,1.0,57.95,,-0.06642532348632812,1931305,2881845,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_5_fam_0_inst_1.json,MILP_Callback,MILP,5,0,2483.0,0.4743254128070879,,,9,3941.8719775676727,1.0,32.95,,-0.041278839111328125,1899555,2850095,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_5_fam_0_inst_2.json,MILP_Callback,MILP,5,0,2492.0,1.0,,,9,3983.148906469345,1.0,62.36,,-0.0648651123046875,1924055,2874595,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_5_fam_1_inst_0.json,MILP_Callback,MILP,5,1,2534.0,1.0,,,9,3944.8879601955414,1.0,204.24,,-0.06337738037109375,2755059,4207619,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_5_fam_1_inst_1.json,MILP_Callback,MILP,5,1,2492.0,1.0,,,9,3714.1960804462433,1.0,54.95,,-0.06191802978515625,2746809,4199369,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_5_fam_1_inst_2.json,MILP_Callback,MILP,5,1,2497.0,1.0,,,9,3887.1960804462433,1.0,24.95,,-0.05191802978515625,2746809,4199369,0.0,0,250,300,0,0.0,0,0,0,0,0,0,0,0,0
class_6_fam_0_inst_0.json,MILP_Callback,MILP,6,0,96.41,0.0,92.12,0.04449745876983707,2,41.45861053466797,40.0,1.69,14.02670431137085,0.041717529296875,185515,303780,100.0,30,30,50,80,2.4242424242424243,0,15,15,25,25,0,0,0,0
class_6_fam_0_inst_1.json,MILP_Callback,MILP,6,0,98.21000000000001,0.0,96.86999999999999,0.01364423174829465,2,19.44915533065796,1.0,0.98,4.926528692245483,0.00665283203125,184795,303060,86.66666666666667,26,30,50,64,10.666666666666666,0,16,16,16,16,0,0,0,0
class_6_fam_0_inst_2.json,MILP_Callback,MILP,6,0,99.89999999999999,0.0,99.41999999999987,0.004804804804805983,2,46.395222663879395,1.0,1.18,9.873080253601074,0.000629425048828125,191815,315175,86.66666666666667,26,30,50,80,1.7391304347826086,0,16,16,24,24,0,0,0,0
class_6_fam_1_inst_0.json,MILP_Callback,MILP,6,1,133.67999999999998,0.0,131.9,0.01331538001196868,2,51.41996455192566,7.0,1.75,14.693774223327637,-0.001514434814453125,270899,445209,73.33333333333333,22,30,50,134,3.9411764705882355,0,33,33,34,34,0,0,0,0
class_6_fam_1_inst_1.json,MILP_Callback,MILP,6,1,139.17,0.0,138.96,0.0015089458935113858,2,39.95300889015198,1.0,1.51,12.834823608398438,0.02379608154296875,271979,446289,70.0,21,30,50,64,3.2,0,11,11,21,21,0,0,0,0
class_6_fam_1_inst_2.json,MILP_Callback,MILP,6,1,150.42,0.0,150.17999999999998,0.001595532508974931,2,39.687658071517944,1.0,1.58,6.228538751602173,-0.03353118896484375,279089,458494,73.33333333333333,22,30,50,46,9.2,0,10,10,13,13,0,0,0,0
class_6_fam_3_inst_0.json,MILP_Callback,MILP,6,3,178.03,0.0,177.76000000000002,0.0015165983261247083,2,29.73432230949402,1.0,1.76,6.099643707275391,-0.01416778564453125,303961,498651,56.666666666666664,17,30,50,16,8.0,0,4,4,4,4,0,0,0,0
class_6_fam_3_inst_1.json,MILP_Callback,MILP,6,3,108.36999999999999,0.0,106.44000000000001,0.017809356833071686,2,58.404086112976074,1.0,3.79,17.4759738445282,-0.022613525390625,343502,563667,90.0,27,30,50,98,19.6,0,23,23,26,26,0,0,0,0
class_6_fam_3_inst_2.json,MILP_Callback,MILP,6,3,135.27,0.0,133.63,0.01212390034745335,2,83.87832736968994,1.0,3.57,20.76961636543274,-0.021884918212890625,327302,537277,73.33333333333333,22,30,50,116,14.5,0,28,28,30,30,0,0,0,0
